TrendDate,speed,load,pressure,temp1,temp2,temp3,temp4
2026-04-28 11:45:00+00,91.30000305,60.70000076,255.1999969,174.8000031,175.1999969,175,174.8000031
2026-04-28 11:47:00+00,93.90000153,60.29999924,255.6999969,175,175.1999969,174.8999939,174.8999939
2026-04-28 11:49:00+00,93.09999847,61.20000076,253.6999969,175,175.1000061,174.8999939,174.6999969
2026-04-28 11:50:00+00,90.09999847,60,253.5,175.1000061,175,174.8999939,174.6999969
2026-04-28 11:51:00+00,92.30000305,60.20000076,254.1999969,175.1000061,175,174.8999939,174.8000031
2026-04-28 11:52:00+00,92.40000153,60.5,256,174.8999939,175,174.8999939,174.8000031
2026-04-28 11:56:00+00,93.19999695,60.09999847,254.1000061,175.1999969,175,175.1000061,175
2026-04-28 11:59:00+00,93.30000305,60,255.3000031,174.8000031,175,175,174.8999939
2026-04-28 12:00:00+00,95.19999695,62.20000076,255.5,174.8999939,175,175,174.8000031
2026-04-28 12:03:00+00,92.5,61.70000076,253,175,174.8999939,174.8999939,175
2026-04-28 12:04:00+00,92.5,60.70000076,254.1000061,175.1000061,174.8999939,174.8999939,175.3000031
2026-04-28 12:05:00+00,91.69999695,60.40000153,255.5,175.1000061,174.8999939,175,175.3000031
2026-04-28 12:06:00+00,92.5,61.20000076,256.2999878,175.1999969,174.8999939,174.8999939,175.1000061
2026-04-28 12:08:00+00,92.30000305,62.09999847,254.5,174.8000031,175,175,175.1000061
2026-04-28 12:09:00+00,90.09999847,60.29999924,254.8000031,174.8999939,175,175,175.1999969
2026-04-28 12:13:00+00,92.69999695,60.59999847,256.2999878,174.8999939,175,175,175
2026-04-28 12:14:00+00,94.69999695,62.5,255.1999969,174.8999939,175.1000061,175,175
2026-04-28 12:15:00+00,92.09999847,60,254.1999969,175,175.1999969,175,175.1000061
2026-04-28 12:16:00+00,93.40000153,61,254,175,175.1999969,175,175
2026-04-28 12:17:00+00,92.30000305,60.59999847,255.3999939,175.1000061,175.1999969,175.1000061,174.8000031
2026-04-28 12:18:00+00,91.40000153,61,256.8999939,175.1999969,175.1000061,175.1000061,175
2026-04-28 12:20:00+00,89.40000153,60.40000153,256.7000122,174.8999939,175.1000061,175,174.8999939
2026-04-28 12:22:00+00,91.19999695,60.20000076,255.3999939,175.1000061,175.1000061,175.1000061,175.3999939
2026-04-28 12:24:00+00,92.5,60.70000076,256.2000122,174.8999939,175.1000061,175.1000061,175.1000061
2026-04-28 12:27:00+00,95.90000153,61,257.6000061,174.8999939,174.8999939,175,174.8000031
2026-04-28 12:28:00+00,93.09999847,60.09999847,256.3999939,175,174.8000031,175,174.8000031
2026-04-28 12:29:00+00,94.19999695,60.20000076,255.6999969,175.1000061,174.8000031,175,174.8000031
2026-04-28 12:30:00+00,95.09999847,61.09999847,255.8000031,175.1999969,175,175.1000061,175
